Date,VIX
2000/11/10,28.53
2000/11/11,31.71780849194614
2000/11/12,31.333808491946137
2000/11/13,29.059999999999995
2000/11/14,26.81
2000/11/15,26.15
2000/11/16,25.05
2000/11/17,24.81
2000/11/18,25.871974318503632
2000/11/19,27.182241983221946
2000/11/20,27.43
2000/11/21,26.62
2000/11/22,27.71
2000/11/23,27.308133604198616
2000/11/24,26
2000/11/25,25.52506476033
2000/11/26,25.95158130134288
2000/11/27,26.93
2000/11/28,27.64
2000/11/29,27.49
2000/11/30,29.65
2000/12/01,27.48
2000/12/02,27.064636575319675
2000/12/03,28.177516546509953
2000/12/04,27.78
2000/12/05,24.99
2000/12/06,25.07
2000/12/07,25.34
2000/12/08,22.41
2000/12/09,20.949091466250916
2000/12/10,21.629769644261597
2000/12/11,23.510000000000005
2000/12/12,24.88
2000/12/13,23.63
2000/12/14,24.86
2000/12/15,26.55
2000/12/16,27.929986752148096
2000/12/17,28.53086069349866
2000/12/18,27.7
2000/12/19,27.17
2000/12/20,31.74
2000/12/21,29.66
2000/12/22,27.55
2000/12/23,27.102715739924662
2000/12/24,27.561612192920247
2000/12/25,28.30970254945571
2000/12/26,28.73
2000/12/27,28.14
2000/12/28,26.57
2000/12/29,26.85
2000/12/30,28.65570855325301
2000/12/31,30.66024852925521
2001/01/01,31.544664240629803
2001/01/02,29.99
2001/01/03,26.6
2001/01/04,26.97
2001/01/05,28.67
2001/01/06,30.04134888593416
2001/01/07,30.57568029294161
2001/01/08,29.84
2001/01/09,27.99
2001/01/10,26.8
2001/01/11,25.79
2001/01/12,24.56
2001/01/13,24.09138446261904
2001/01/14,24.331226696770745
2001/01/15,24.865455582537077
2001/01/16,25.28
2001/01/17,24.93
2001/01/18,23.37
2001/01/19,23.24
2001/01/20,23.82325473985974
2001/01/21,24.095714023146936
2001/01/22,23.25
2001/01/23,21.57
2001/01/24,22.03
2001/01/25,22.64
2001/01/26,22.57
2001/01/27,22.484376276661788
2001/01/28,22.518518194954883
2001/01/29,22.61
2001/01/30,22.57
2001/01/31,22.02
2001/02/01,21.66
2001/02/02,21.95
2001/02/03,22.2132201699487
2001/02/04,22.28051864110457
2001/02/05,22.19
2001/02/06,21.98
2001/02/07,21.67
2001/02/08,21.46
2001/02/09,22.03
2001/02/10,22.45586557493648
2001/02/11,22.426847074948924
2001/02/12,21.92
2001/02/13,21.37
2001/02/14,21.52
2001/02/15,20.27
2001/02/16,22.12
2001/02/17,23.668962707186814
2001/02/18,24.16710430933945
2001/02/19,24.284193756822358
2001/02/20,24.69
2001/02/21,25.75
2001/02/22,26.76
2001/02/23,27.21
2001/02/24,26.66337954175623
2001/02/25,25.759595527014362
2001/02/26,25.43
2001/02/27,26.49
2001/02/28,28.35
2001/03/01,28.08
2001/03/02,27.43
2001/03/03,27.335751901628253
2001/03/04,27.421797230563826
2001/03/05,27.12
2001/03/06,25.89
2001/03/07,24.12
2001/03/08,24.29
2001/03/09,25.62
2001/03/10,28.396039936883714
2001/03/11,30.804407676256808
2001/03/12,30.32
2001/03/13,27.55
2001/03/14,29.61
2001/03/15,28.56
2001/03/16,29.91
2001/03/17,30.4117212659472
2001/03/18,29.84639234464733
2001/03/19,29.78
2001/03/20,30.96
2001/03/21,31.93
2001/03/22,32.84
2001/03/23,30.45
2001/03/24,29.524792537764977
2001/03/25,29.80639033881577
2001/03/26,29.04
2001/03/27,27.04
2001/03/28,28.58
2001/03/29,29.17
2001/03/30,28.64
2001/03/31,28.243101080999146
2001/04/01,28.83741830985281
2001/04/02,31.21
2001/04/03,34.72
2001/04/04,34.07
2001/04/05,29.94
2001/04/06,31.69
2001/04/07,33.59871600837849
2001/04/08,33.62105192072177
2001/04/09,31.91
2001/04/10,29.44
2001/04/11,28.46
2001/04/12,26.12
2001/04/13,24.9509211060137
2001/04/14,25.181530684121338
2001/04/15,25.933874920168307
2001/04/16,26.330000000000002
2001/04/17,25.61
2001/04/18,24.13
2001/04/19,24.16
2001/04/20,25.38
2001/04/21,26.52637487236504
2001/04/22,27.41486940747829
2001/04/23,28.16
2001/04/24,28.49
2001/04/25,27.4
2001/04/26,25.96
2001/04/27,24.02
2001/04/28,24.01573360449145
2001/04/29,25.136257201746417
2001/04/30,25.48
2001/05/01,24.2
2001/05/02,24.23
2001/05/03,25.78
2001/05/04,23.91
2001/05/05,23.289279180851146
2001/05/06,24.172192225807173
2001/05/07,24.86
2001/05/08,24.44
2001/05/09,24.35
2001/05/10,24
2001/05/11,23.54
2001/05/12,23.609084430101326
2001/05/13,23.997364584905437
2001/05/14,24.26
2001/05/15,23.71
2001/05/16,21.89
2001/05/17,21.47
2001/05/18,21.23
2001/05/19,20.909792194202844
2001/05/20,20.70173683939543
2001/05/21,20.76
2001/05/22,21.35
2001/05/23,22.08
2001/05/24,20.57
2001/05/25,20.6
2001/05/26,21.016743717900837
2001/05/27,21.313404353266215
2001/05/28,21.63836281199849
2001/05/29,22.14
2001/05/30,22.76
2001/05/31,22.64
2001/06/01,21.59
2001/06/02,21.64343931620122
2001/06/03,22.099082288055715
2001/06/04,21.38
2001/06/05,19.58
2001/06/06,20.39
2001/06/07,19.67
2001/06/08,19.92
2001/06/09,20.399256012368166
2001/06/10,20.651073511536097
2001/06/11,20.7
2001/06/12,20.7
2001/06/13,21.45
2001/06/14,23.12
2001/06/15,22.81
2001/06/16,22.822972069889044
2001/06/17,23.252117664614502
2001/06/18,23.17
2001/06/19,22.34
2001/06/20,21.71
2001/06/21,19.38
2001/06/22,20.02
2001/06/23,20.60285136244678
2001/06/24,20.558417470952385
2001/06/25,20.67
2001/06/26,21.2
2001/06/27,20.88
2001/06/28,20.01
2001/06/29,19.06
2001/06/30,18.60912151574968
2001/07/01,18.592934687342268
2001/07/02,18.76
2001/07/03,18.92
2001/07/04,19.201279317205366
2001/07/05,20.09
2001/07/06,21.63
2001/07/07,22.340231219488594
2001/07/08,22.387570405431823
2001/07/09,22.48
2001/07/10,23.25
2001/07/11,24.01
2001/07/12,22.09
2001/07/13,21.14
2001/07/14,21.641235367397787
2001/07/15,22.582452327775435
2001/07/16,22.91
2001/07/17,22.61
2001/07/18,23.6
2001/07/19,22.51
2001/07/20,22.34
2001/07/21,22.357529376300175
2001/07/22,22.602067307900086
2001/07/23,23.74
2001/07/24,25.24
2001/07/25,24
2001/07/26,23.01
2001/07/27,22
2001/07/28,22.032767751887107
2001/07/29,22.62588793109098
2001/07/30,22.69
2001/07/31,21.62
2001/08/01,20.56
2001/08/02,20.09
2001/08/03,19.89
2001/08/04,20.73678998286884
2001/08/05,21.838025869703216
2001/08/06,21.89
2001/08/07,21.01
2001/08/08,22.32
2001/08/09,21.75
2001/08/10,20.55
2001/08/11,20.110698858824176
2001/08/12,20.23188388655544
2001/08/13,20.42
2001/08/14,20.48
2001/08/15,20.91
2001/08/16,21.54
2001/08/17,23.84
2001/08/18,23.969580740703506
2001/08/19,22.797160786852977
2001/08/20,22.87
2001/08/21,24.4
2001/08/22,22.44
2001/08/23,22.23
2001/08/24,19.71
2001/08/25,18.429721917215844
2001/08/26,19.023393880528925
2001/08/27,20.56
2001/08/28,22
2001/08/29,23.03
2001/08/30,25.41
2001/08/31,24.92
2001/09/01,24.454455424235285
2001/09/02,24.762083289514813
2001/09/03,25.38116951003694
2001/09/04,25.85
2001/09/05,26.35
2001/09/06,28.61
2001/09/07,30.99
2001/09/08,31.76241752556844
2001/09/09,31.620372301438234
2001/09/10,31.84
2001/09/11,33.379828036483666
2001/09/12,35.92795079747635
2001/09/13,38.854854412404485
2001/09/14,41.53102501069449
2001/09/15,43.3269487217728
2001/09/16,43.61311167506583
2001/09/17,41.760000000000005
2001/09/18,38.87
2001/09/19,40.56
2001/09/20,43.74
2001/09/21,42.66
